address,activity_days,coordinates
"JABATAN PENGANGKUTAN JALAN, PEJABAT PENTADBIRAN FELDA WILAYAH SELATAN,JALAN BATU PAHAT,JALAN BATU PAHAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.030068, 103.3184639"
"WISMA PERSEKUTUAN,JALAN BATU PAHAT,JALAN BATU PAHAT, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9816218, 103.2441783"
"SMK SERI PERDANA,JALAN NIYOR,JALAN NIYOR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.057467, 103.3118945"
"LORONG 1,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday","2.0249149, 103.3112362"
"LORONG 2,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday","2.0184817, 103.3254182"
"LORONG 3,KAMPUNG KOLAM AIR, KLUANG JOHOR","Monday,Thursday","2.0193416, 103.3119808"
"SK SERI LALANG,JALAN SEKOLAH,KAMPUNG MELAYU BATU 6, SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.981121, 103.243568"
"JALAN BERANGAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday","2.0417566, 103.321642"
"PASAR AWAM,JALAN BERANGAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday","2.0416074, 103.321642"
"JALAN TEMBIKAI,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday","2.0400729, 103.3224471"
"JALAN RAMBUTAN,KAWASAN PASAR, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Saturday,Sunday","2.0417566, 103.321642"
"MPK,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.026857, 103.3169823"
"PEJABAT AGAMA KLUANG,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0247446, 103.3169659"
"KASTAM,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0259855, 103.316867"
" MAHKAMAH TINGGI,JALAN PEJABAT KERAJAAN 1,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0259855, 103.316867"
"JABATAN KERJA RAYA,JALAN PEJABAT KERAJAAN 2,KAWASAN PEJABAT KERAJAAN, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0246367, 103.3167532"
"KEDIAMAN JURUTERA JKR,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0180855, 103.3166445"
"KUARTERS KERAJAAN,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0180855, 103.3166445"
"KEDIAMAN PEGAWAI DAERAH KLUANG,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0180855, 103.3166445"
"KEDIAMAN YANG DI-PERTUA MPK,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0180855, 103.3166445"
"ISTANA SRI LAMBAK,JALAN KOLAM AIR,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0180855, 103.3166445"
"KEDIAMAN RASMI PEGAWAI KANAN POLIS,JALAN KEBUN TEH,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0203862, 103.3175453"
"KEDIAMAN PENTADBIR TANAH KLUANG,JALAN KEBUN TEH,KAWASAN RUMAH VVIP, KLUANG JOHOR","Wednesday,Sunday","2.0203862, 103.3175453"
"JALAN BAHARU,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9950465, 103.2561251"
"JALAN BUKIT,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9941927, 103.2558897"
"JALAN ESTET,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9968852, 103.2544708"
"SURAU,JALAN ESTET,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9968852, 103.2544708"
"JALAN HUJUNG,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9955366, 103.2519848"
"JALAN HUJUNG 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9954432, 103.2507201"
"JALAN HUJUNG 3,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9960547, 103.2515759"
"JALAN HUJUNG 4,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9962942, 103.2521131"
"JALAN HUJUNG 5,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9958197, 103.250416"
"PASAR AWAM,JALAN KLINIK,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9914848, 103.2538006"
"JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9945604, 103.2528279"
"JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9945604, 103.2528279"
"JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9945604, 103.2528279"
"GERAI MPK,JALAN MERDEKA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9945604, 103.2528279"
"JALAN PASAR,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9913077, 103.2550243"
"JALAN PASAR,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9913077, 103.2550243"
"JALAN PAYA,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9938186, 103.2523234"
"JALAN PAYA A,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9926571, 103.2520731"
"JALAN PAYA B,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9932989, 103.251594"
"JALAN PAYA C,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9917333, 103.2516853"
"BALAI POLIS SRI LALANG,JALAN PAYA C,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9894929, 103.2542297"
"JALAN PAYA D,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9938973, 103.2511652"
"JALAN PAYA E,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9938186, 103.2523234"
"JALAN PENDEK,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9954167, 103.2549743"
"JALAN RUMAH PANJANG,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.994509, 103.2547077"
"JALAN SELAMAT,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","1.9912756, 103.2560142"
"JALAN SUNGAI,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9937201, 103.2543914"
"JALAN TEPI,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9967714, 103.2557627"
"JALAN TINGGI,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9962068, 103.2550043"
"LORONG B1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.99041, 103.255452"
"LORONG TINGGI 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.996634, 103.2546808"
"LORONG TINGGI 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9969156, 103.2550651"
"LORONG PAYA 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9937898, 103.2523449"
"LORONG PAYA 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9937898, 103.2523449"
"LORONG PAYA 3,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9937898, 103.2523449"
"LORONG TEPI 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9956782, 103.2569305"
"LORONG TEPI 2,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9960607, 103.2566541"
"LORONG TEPI 3,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9964467, 103.2563347"
"LORONG TEPI 4,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9969866, 103.2560523"
"LORONG TEPI 5,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9974267, 103.2555602"
"LORONG 1,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9936719, 103.0914663"
"LORONG 5,KAWASAN SRI LALANG, KLUANG JOHOR","Monday,Thursday","1.9933919, 103.255558"
"BALAI PENGAWAL UTAMA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"WISMA BINTARA 33RAD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"DEWAN MAHKOTA / TADIKA / SURAU AL-MAKMUR,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.030068, 103.3184639"
"KUARTERS BUJANG BATALION KE-2 PPAT,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday","2.0336711, 103.3167932"
"KUARTERS PEGAWAI JALAN DORSET,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Thursday","2.0252506, 103.3115443"
"BALAI PENGAWAL WISMA PERWIRA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"SEKOLAH AGAMA KEM MAHKOTA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.032696, 103.316882"
"PERNAMA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"REJIMEN KE-61 ARTILERI DIRAJA,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"KOMPLEKS 7BRIGED,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"MARKAS 3 DIVISYEN RAJD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"PLATUN KENDERAAN,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"WISMA PERWIRA SOUTHERN GUNNERS,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"IKEM KOMPLEKS SEL TEMPUR,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"IKEM SENTRAL,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"BALAI PENGAWAL,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"PUSAT PEMULIHAN PEMASYARAKATAN,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"INSTITUT KEJURUTERAAN MEDAN TD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0336711, 103.3167932"
"WISMA PERWIRA 8 SKUADRON RAJD,JALAN HOSPITAL,TAMAN KEM MAHKOTA, KLUANG JOHOR","Monday,Tuesday,Wednesday,Thursday,Friday,Sunday","2.0826875, 103.3745625"
